date,portfolio_value,cash,MSFT,NVDA,AAPL,AMZN,GOOGL,META
2019-11-26 00:00:00-05:00,118293.82722902298,58525.06336259842,102,2792,230,168,2,0
2019-11-27 00:00:00-05:00,118797.83059358597,58525.06336259842,102,2792,230,168,2,0
2019-11-29 00:00:00-05:00,118419.84333848953,58525.06336259842,102,2792,230,168,2,0
2019-12-02 00:00:00-05:00,117386.78057909012,58525.06336259842,102,2792,230,168,2,0
2019-12-03 00:00:00-05:00,116893.8352971077,58525.06336259842,102,2792,230,168,2,0
2019-12-04 00:00:00-05:00,116893.8352971077,116893.8352971077,0,0,0,0,0,0
2019-12-05 00:00:00-05:00,116893.8352971077,116893.8352971077,0,0,0,0,0,0
2019-12-06 00:00:00-05:00,118479.57816839218,30.2185640335083,204,5623,455,335,2,0
2019-12-09 00:00:00-05:00,117952.16632604599,30.2185640335083,204,5623,455,335,2,0
2019-12-10 00:00:00-05:00,118159.92350721359,30.2185640335083,204,5623,455,335,2,0
2019-12-11 00:00:00-05:00,119152.36151409149,30.2185640335083,204,5623,455,335,2,0
2019-12-12 00:00:00-05:00,120664.53106737137,30.2185640335083,204,5623,455,335,2,0
2019-12-13 00:00:00-05:00,121320.09535646439,2.3293099403381348,204,5628,455,335,2,0
2019-12-16 00:00:00-05:00,121828.34230852127,60583.92493391037,102,2814,228,168,1,0
2019-12-17 00:00:00-05:00,122176.87078619003,60583.92493391037,102,2814,228,168,1,0
2019-12-18 00:00:00-05:00,122138.4541478157,60583.92493391037,102,2814,228,168,1,0
2019-12-19 00:00:00-05:00,122770.45133638382,60583.92493391037,102,2814,228,168,1,0
2019-12-20 00:00:00-05:00,123039.99152326584,76036.56903266907,77,2111,171,126,1,0
2019-12-23 00:00:00-05:00,123240.53969287872,76036.56903266907,77,2111,171,126,1,0
2019-12-24 00:00:00-05:00,123209.80177307129,64.10153865814209,243,6238,534,144,1,0
2019-12-26 00:00:00-05:00,124899.09788513184,4.701061248779297,243,6248,534,144,1,0
2019-12-27 00:00:00-05:00,124598.19984817505,4.701061248779297,243,6248,534,144,1,0
